Order,Grantor EIN,Grantor Name,Clean Grantor Name,Recipient EIN,Recipient Name,Clean Recipient Name,Grantor/Recipient Type,Cash Grant Amount
16,11-0303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,Fidelity Charitable,45-4678325,BRADLEY IMPACT FUND INC,Impact Investing Charitable Foundation,Nat-to-Nat,35333788
17,11-0303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,Fidelity Charitable,47-3574130,IMPACT INVESTING CHARITABLE FOUNDATION INC,Impact Investing Charitable Foundation,Nat-to-Nat,18187775
18,11-0303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,Fidelity Charitable,51-0198509,TIDES FOUNDATION,Donors Trust,Nat-to-Nat,17516554
19,11-0303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,Fidelity Charitable,52-7082731,MORGAN STANLEY GLOBAL IMPACT FUNDING TRUST INC,Morgan Stanley GIFT,Nat-to-Nat,13404429
20,11-0303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,Fidelity Charitable,81-0739440,AMERICAN ONLINE GIVING FOUNDATION INC,Impact Investing Charitable Trust,Nat-to-Nat,14970703
21,11-0303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,Fidelity Charitable,86-2577635,TELESCOPE FUND,Telescope Fund,Nat-to-Nat,33000000
22,14-1782466,AYCO CHARITABLE FOUNDATION,AYCO Charitable Foundation,31-1774905,GOLDMAN SACHS PHILANTHROPY FUND,Goldman Sachs Philanthropy Fund,Nat-to-Nat,13703600
23,23-2888152,VANGUARD CHARITABLE ENDOWMENT PROGRAM,Vanguard Charitable,11-0303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,Fidelity Charitable,Nat-to-Nat,59069369
24,23-2888152,VANGUARD CHARITABLE ENDOWMENT PROGRAM,Vanguard Charitable,26-2048480,IMPACTASSETS INC,NPT Charitable Asset,Nat-to-Nat,26966904
25,23-2888152,VANGUARD CHARITABLE ENDOWMENT PROGRAM,Vanguard Charitable,31-1640316,SCHWAB CHARITABLE FUND,Schwab Charitable Fund / DAFGiving360,Nat-to-Nat,15205207
26,23-2888152,VANGUARD CHARITABLE ENDOWMENT PROGRAM,Vanguard Charitable,31-1774905,GOLDMAN SACHS PHILANTHROPY FUND,Goldman Sachs Philanthropy Fund,Nat-to-Nat,51089204
27,23-2888152,VANGUARD CHARITABLE ENDOWMENT PROGRAM,Vanguard Charitable,52-2166327,DONORS TRUST INC,Donors Trust,Nat-to-Nat,15570000
28,23-7825575,NATIONAL PHILANTHROPIC TR,National Philanthropic Trust,11-0303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,Fidelity Charitable,Nat-to-Nat,63245404
29,23-7825575,NATIONAL PHILANTHROPIC TR,National Philanthropic Trust,20-0849590,GREATER HORIZONS,Silicon Valley Community Foundation,Nat-to-Nat,162724004
30,23-7825575,NATIONAL PHILANTHROPIC TR,National Philanthropic Trust,31-1640316,SCHWAB CHARITABLE FUND,Schwab Charitable Fund / DAFGiving360,Nat-to-Nat,76791161
31,23-7825575,NATIONAL PHILANTHROPIC TR,National Philanthropic Trust,35-2129262,RENAISSANCE CHARITABLE FOUNDATION INC,Chicago Community Trust,Nat-to-Nat,98805311
32,23-7825575,NATIONAL PHILANTHROPIC TR,National Philanthropic Trust,51-0198509,TIDES FOUNDATION,Donors Trust,Nat-to-Nat,13186520
33,23-7825575,NATIONAL PHILANTHROPIC TR,National Philanthropic Trust,52-7082731,MORGAN STANLEY GLOBAL IMPACT FUNDING TRUST INC,Morgan Stanley GIFT,Nat-to-Nat,22904392
34,26-0724604,DECHOMAI ASSET TRUST,Dechomai Asset Trust,06-1676688,DECHOMAI FOUNDATION INC,Dechomai Foundation,Nat-to-Nat,315341522
35,27-7059768,NPT CHARITABLE ASSET TR,NPT Charitable Asset,23-7825575,NATIONAL PHILANTHROPIC TR,National Philanthropic Trust,Nat-to-Nat,11417947
36,31-1640316,SCHWAB CHARITABLE FUND,Schwab Charitable Fund / DAFGiving360,11-0303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,Fidelity Charitable,Nat-to-Nat,120864512
37,31-1640316,SCHWAB CHARITABLE FUND,Schwab Charitable Fund / DAFGiving360,23-2888152,VANGUARD CHARITABLE ENDOWMENT PROGRAM,Vanguard Charitable,Nat-to-Nat,26383102
38,31-1640316,SCHWAB CHARITABLE FUND,Schwab Charitable Fund / DAFGiving360,23-7825575,NATIONAL PHILANTHROPIC TR,National Philanthropic Trust,Nat-to-Nat,14713511
39,31-1640316,SCHWAB CHARITABLE FUND,Schwab Charitable Fund / DAFGiving360,26-0724604,DECHOMAI ASSET TRUST,Dechomai Asset Trust,Nat-to-Nat,25501739
40,31-1640316,SCHWAB CHARITABLE FUND,Schwab Charitable Fund / DAFGiving360,30-0748315,BNY MELLON CHARITABLE GIFT FUND,Schwab Charitable Fund / DAFGiving360,Nat-to-Nat,14074851
41,31-1640316,SCHWAB CHARITABLE FUND,Schwab Charitable Fund / DAFGiving360,31-1774905,GOLDMAN SACHS PHILANTHROPY FUND,Goldman Sachs Philanthropy Fund,Nat-to-Nat,15394506
42,31-1640316,SCHWAB CHARITABLE FUND,Schwab Charitable Fund / DAFGiving360,34-1747398,AMERICAN ENDOWMENT FOUNDATION,American Endowment Foundation,Nat-to-Nat,35643114
43,31-1774905,GOLDMAN SACHS PHILANTHROPY FUND,Goldman Sachs Philanthropy Fund,11-0303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,Fidelity Charitable,Nat-to-Nat,11749063
44,31-1774905,GOLDMAN SACHS PHILANTHROPY FUND,Goldman Sachs Philanthropy Fund,23-7825575,NATIONAL PHILANTHROPIC TR,National Philanthropic Trust,Nat-to-Nat,163131376
45,34-1747398,AMERICAN ENDOWMENT FOUNDATION,American Endowment Foundation,11-0303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,Fidelity Charitable,Nat-to-Nat,48895763
46,34-1747398,AMERICAN ENDOWMENT FOUNDATION,American Endowment Foundation,23-2888152,VANGUARD CHARITABLE ENDOWMENT PROGRAM,Vanguard Charitable,Nat-to-Nat,48134507
47,34-1747398,AMERICAN ENDOWMENT FOUNDATION,American Endowment Foundation,23-7825575,NATIONAL PHILANTHROPIC TR,National Philanthropic Trust,Nat-to-Nat,109928618
48,34-1747398,AMERICAN ENDOWMENT FOUNDATION,American Endowment Foundation,31-1640316,SCHWAB CHARITABLE FUND,Schwab Charitable Fund / DAFGiving360,Nat-to-Nat,32418448
49,34-1747398,AMERICAN ENDOWMENT FOUNDATION,American Endowment Foundation,45-4678325,BRADLEY IMPACT FUND INC,Impact Investing Charitable Foundation,Nat-to-Nat,25632166
50,45-0931286,PAYPAL CHARITABLE GIVING FUND,PayPal Charitable Giving Fund,47-4844275,THE DONORS FUND,Donors Trust,Nat-to-Nat,46354413
51,47-3574130,IMPACT INVESTING CHARITABLE FOUNDATION INC,Impact Investing Charitable Foundation,81-2375745,IMPACT INVESTING CHARITABLE TRUST,Impact Investing Charitable Trust,Nat-to-Nat,94378760
52,52-2166327,DONORS TRUST INC,Donors Trust,26-0724604,DECHOMAI ASSET TRUST,Dechomai Asset Trust,Nat-to-Nat,100650000
53,52-7082731,MORGAN STANLEY GLOBAL IMPACT FUNDING TRUST INC,Morgan Stanley GIFT,11-0303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,Fidelity Charitable,Nat-to-Nat,149778624
54,52-7082731,MORGAN STANLEY GLOBAL IMPACT FUNDING TRUST INC,Morgan Stanley GIFT,23-7825575,NATIONAL PHILANTHROPIC TR,National Philanthropic Trust,Nat-to-Nat,52507166
55,52-7082731,MORGAN STANLEY GLOBAL IMPACT FUNDING TRUST INC,Morgan Stanley GIFT,31-1640316,SCHWAB CHARITABLE FUND,Schwab Charitable Fund / DAFGiving360,Nat-to-Nat,20627379
56,81-2375745,IMPACT INVESTING CHARITABLE TRUST,Impact Investing Charitable Trust,47-3574130,IMPACT INVESTING CHARITABLE FOUNDATION INC,Impact Investing Charitable Foundation,Nat-to-Nat,15765312
57,11-0303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,Fidelity Charitable,04-2103559,COMBINED JEWISH PHILANTHROPIES OF GREATER BOSTON INC,Dechomai Foundation,Nat-to-NonNat80%,16408157
58,11-0303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,Fidelity Charitable,20-5205488,SILICON VALLEY COMMUNITY FOUNDATION,Silicon Valley Community Foundation,Nat-to-NonNat80%,15669854
59,11-0303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,Fidelity Charitable,23-7174183,JEWISH COMMUNAL FUND,Jewish Communal Fund,Nat-to-NonNat80%,21390962
60,11-0303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,Fidelity Charitable,58-1493949,NATL CHRISTIAN CHARITABLE FDN INC,National Christian Charitable Foundation,Nat-to-NonNat80%,12446482
61,23-7825575,NATIONAL PHILANTHROPIC TR,National Philanthropic Trust,20-5205488,SILICON VALLEY COMMUNITY FOUNDATION,Silicon Valley Community Foundation,Nat-to-NonNat80%,257077976
62,43-1890105,SERVANT FOUNDATION,Servant Foundation,58-1493949,NATL CHRISTIAN CHARITABLE FDN INC,National Christian Charitable Foundation,Nat-to-NonNat80%,50408975
63,43-1890105,SERVANT FOUNDATION,Servant Foundation,82-5070897,THE SIGNATRY CHARITABLE TRUST,The Signatry Charitable Trust,Nat-to-NonNat80%,25183122
64,43-1890105,SERVANT FOUNDATION,Servant Foundation,84-3754469,INTERNATIONAL GENEROSITY FOUNDATION TRUST,International Generosity Foundation Trust,Nat-to-NonNat80%,26741900
65,45-0931286,PAYPAL CHARITABLE GIVING FUND,PayPal Charitable Giving Fund,11-3618879,THE OJC FUND,AYCO Charitable Foundation,Nat-to-NonNat80%,16713701
66,20-5205488,SILICON VALLEY COMMUNITY FOUNDATION,Silicon Valley Community Foundation,11-0303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,Fidelity Charitable,NonNat80%-to-Nat,153756594
67,20-5205488,SILICON VALLEY COMMUNITY FOUNDATION,Silicon Valley Community Foundation,31-1640316,SCHWAB CHARITABLE FUND,Schwab Charitable Fund / DAFGiving360,NonNat80%-to-Nat,27471026
68,20-5205488,SILICON VALLEY COMMUNITY FOUNDATION,Silicon Valley Community Foundation,81-0739440,AMERICAN ONLINE GIVING FOUNDATION INC,Impact Investing Charitable Trust,NonNat80%-to-Nat,38105841
69,20-5205488,SILICON VALLEY COMMUNITY FOUNDATION,Silicon Valley Community Foundation,94-3136771,PHILANTHROPIC VENTURES FOUNDATION,Philanthropic Ventures Foundation,NonNat80%-to-Nat,33283997
70,23-7174183,JEWISH COMMUNAL FUND,Jewish Communal Fund,11-0303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,Fidelity Charitable,NonNat80%-to-Nat,13666982
71,23-7174183,JEWISH COMMUNAL FUND,Jewish Communal Fund,47-4844275,THE DONORS FUND,Donors Trust,NonNat80%-to-Nat,18292460
72,36-2167000,THE CHICAGO COMMUNITY TRUST,Chicago Community Trust,11-0303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,Fidelity Charitable,NonNat80%-to-Nat,13129409
73,36-2167000,THE CHICAGO COMMUNITY TRUST,Chicago Community Trust,23-7825575,NATIONAL PHILANTHROPIC TR,National Philanthropic Trust,NonNat80%-to-Nat,30822989
74,58-1493949,NATL CHRISTIAN CHARITABLE FDN INC,National Christian Charitable Foundation,20-4326440,NCF CHARITABLE TRUST,Silicon Valley Community Foundation,NonNat80%-to-Nat,10106242
75,58-1493949,NATL CHRISTIAN CHARITABLE FDN INC,National Christian Charitable Foundation,23-7825575,NATIONAL PHILANTHROPIC TR,National Philanthropic Trust,NonNat80%-to-Nat,17932069
76,58-1493949,NATL CHRISTIAN CHARITABLE FDN INC,National Christian Charitable Foundation,43-1890105,SERVANT FOUNDATION,Servant Foundation,NonNat80%-to-Nat,14342521
77,58-1493949,NATL CHRISTIAN CHARITABLE FDN INC,National Christian Charitable Foundation,47-3574130,IMPACT INVESTING CHARITABLE FOUNDATION INC,Impact Investing Charitable Foundation,NonNat80%-to-Nat,51365143
78,58-1493949,NATL CHRISTIAN CHARITABLE FDN INC,National Christian Charitable Foundation,81-3222963,THE GIVECLEAR FOUNDATION / TIFIN,Vertuassets Foundation,NonNat80%-to-Nat,10811320
79,77-0312582,COMMUNITY FOUNDATION FOR SAN BENITO COUNTY,Community Foundation for San Benito County,26-2048480,IMPACTASSETS INC,NPT Charitable Asset,NonNat80%-to-Nat,14000000
80,82-5070897,THE SIGNATRY CHARITABLE TRUST,The Signatry Charitable Trust,43-1890105,SERVANT FOUNDATION,Servant Foundation,NonNat80%-to-Nat,25712706
81,20-5205488,SILICON VALLEY COMMUNITY FOUNDATION,Silicon Valley Community Foundation,23-7160400,GREATER HOUSTON COMMUNITY FOUNDATION,Greater Houston Community Foundation,NonNat80%-to-NonNat80%,10984193
82,23-7160400,GREATER HOUSTON COMMUNITY FOUNDATION,Greater Houston Community Foundation,58-1493949,NATL CHRISTIAN CHARITABLE FDN INC,National Christian Charitable Foundation,NonNat80%-to-NonNat80%,19950000
83,38-2596725,GORDON CHRISTIAN TRUST,Gordon Christian Trust,58-1493949,NATL CHRISTIAN CHARITABLE FDN INC,National Christian Charitable Foundation,NonNat80%-to-NonNat80%,17420600
84,58-1493949,NATL CHRISTIAN CHARITABLE FDN INC,National Christian Charitable Foundation,59-3498416,GIVERS LEGACY FOUNDATION INC,Community Foundation for San Benito County,NonNat80%-to-NonNat80%,25115790
85,58-1493949,NATL CHRISTIAN CHARITABLE FDN INC,National Christian Charitable Foundation,84-3754469,INTERNATIONAL GENEROSITY FOUNDATION TRUST,International Generosity Foundation Trust,NonNat80%-to-NonNat80%,17411810
86,82-2328799,VERTUASSETS FOUNDATION INC,Vertuassets Foundation,58-1493949,NATL CHRISTIAN CHARITABLE FDN INC,National Christian Charitable Foundation,NonNat80%-to-NonNat80%,10798309
