Grantor EIN,Grantor Name,Recipient EIN,Recipient Name,Cash Grant Amount,Grantor/Recipient Type
110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,460942102,BLACKBAUD GIVING FUND,"$1,126,817 ",Nat-to-Nat
110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,473574130,IMPACT INVESTING CHARITABLE FOUNDATION INC,"$18,187,775 ",Nat-to-Nat
110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,474172718,GIVINGA FOUNDATION INC,"$237,550 ",Nat-to-Nat
110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,474844275,THE DONORS FUND,"$3,674,587 ",Nat-to-Nat
110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,510198509,TIDES FOUNDATION,"$17,516,554 ",Nat-to-Nat
110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,516506426,AMERICAN GIFT FUND,"$174,011 ",Nat-to-Nat
110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,522166327,DONORS TRUST INC,"$2,874,455 ",Nat-to-Nat
110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,527082731,MORGAN STANLEY GLOBAL IMPACT FUNDING TRUST INC,"$13,404,429 ",Nat-to-Nat
110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,593652538,RAYMOND JAMES CHARITABLE ENDOWMENT FUND,"$9,000,530 ",Nat-to-Nat
110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,710992446,KIVA MICROFUNDS,"$1,181,127 ",Nat-to-Nat
110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,810739440,AMERICAN ONLINE GIVING FOUNDATION INC,"$14,970,703 ",Nat-to-Nat
110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,812279757,GOFUNDME ORG,"$809,700 ",Nat-to-Nat
110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,812576201,THE INDEPENDENT CHARITABLE GIFT FUND,"$2,361,577 ",Nat-to-Nat
110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,813222963,THE GIVECLEAR FOUNDATION / TIFIN,"$39,826 ",Nat-to-Nat
110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,821517696,AMALGAMATED CHARITABLE FOUNDATION INC,"$4,485,660 ",Nat-to-Nat
110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,842049692,STIFEL CHARITABLE INC,"$1,201,006 ",Nat-to-Nat
110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,862577635,TELESCOPE FUND,"$33,000,000 ",Nat-to-Nat
110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,863177440,DAFFY CHARITABLE FUND,"$1,997,140 ",Nat-to-Nat
110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,943136771,PHILANTHROPIC VENTURES FOUNDATION,"$684,219 ",Nat-to-Nat
113813663,GOLDMAN SACHS CHARITABLE GIFT FUND,137111099,BESSEMER NATIONAL GIFT FUND,"$600,000 ",Nat-to-Nat
113813663,GOLDMAN SACHS CHARITABLE GIFT FUND,204286082,UNITED CHARITABLE,"$12,500 ",Nat-to-Nat
113813663,GOLDMAN SACHS CHARITABLE GIFT FUND,237825575,NATIONAL PHILANTHROPIC TR,"$10,000 ",Nat-to-Nat
113813663,GOLDMAN SACHS CHARITABLE GIFT FUND,311640316,SCHWAB CHARITABLE FUND,"$5,320,928 ",Nat-to-Nat
113813663,GOLDMAN SACHS CHARITABLE GIFT FUND,431634280,CHARITIES AID FOUNDATION AMERICA,"$302,067 ",Nat-to-Nat
113813663,GOLDMAN SACHS CHARITABLE GIFT FUND,812279757,GOFUNDME ORG,"$35,000 ",Nat-to-Nat
113813663,GOLDMAN SACHS CHARITABLE GIFT FUND,943136771,PHILANTHROPIC VENTURES FOUNDATION,"$50,000 ",Nat-to-Nat
133848582,FJC,110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,"$174,582 ",Nat-to-Nat
133848582,FJC,311640316,SCHWAB CHARITABLE FUND,"$202,089 ",Nat-to-Nat
133848582,FJC,510198509,TIDES FOUNDATION,"$12,000 ",Nat-to-Nat
133848582,FJC,821517696,AMALGAMATED CHARITABLE FOUNDATION INC,"$10,000 ",Nat-to-Nat
136082763,RUDOLF STEINER FOUNDATION INC,133848582,FJC,"$12,000 ",Nat-to-Nat
136082763,RUDOLF STEINER FOUNDATION INC,262048480,IMPACTASSETS INC,"$473,470 ",Nat-to-Nat
136082763,RUDOLF STEINER FOUNDATION INC,510198509,TIDES FOUNDATION,"$654,250 ",Nat-to-Nat
136082763,RUDOLF STEINER FOUNDATION INC,821517696,AMALGAMATED CHARITABLE FOUNDATION INC,"$259,977 ",Nat-to-Nat
136082763,RUDOLF STEINER FOUNDATION INC,943396165,R S F GLOBAL COMMUNITY FUND INC,"$12,500 ",Nat-to-Nat
137111099,BESSEMER NATIONAL GIFT FUND,110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,"$5,076,337 ",Nat-to-Nat
137111099,BESSEMER NATIONAL GIFT FUND,137111099,BESSEMER NATIONAL GIFT FUND,"$217,000 ",Nat-to-Nat
137111099,BESSEMER NATIONAL GIFT FUND,200849590,GREATER HORIZONS,"$1,600,000 ",Nat-to-Nat
137111099,BESSEMER NATIONAL GIFT FUND,274357830,NEMA FOUNDATION INC,"$75,000 ",Nat-to-Nat
137111099,BESSEMER NATIONAL GIFT FUND,300748315,BNY MELLON CHARITABLE GIFT FUND,"$282,476 ",Nat-to-Nat
137111099,BESSEMER NATIONAL GIFT FUND,311640316,SCHWAB CHARITABLE FUND,"$151,077 ",Nat-to-Nat
137111099,BESSEMER NATIONAL GIFT FUND,311774905,GOLDMAN SACHS PHILANTHROPY FUND,"$2,260,879 ",Nat-to-Nat
137111099,BESSEMER NATIONAL GIFT FUND,341747398,AMERICAN ENDOWMENT FOUNDATION,"$811,711 ",Nat-to-Nat
137111099,BESSEMER NATIONAL GIFT FUND,431634280,CHARITIES AID FOUNDATION AMERICA,"$124,300 ",Nat-to-Nat
137111099,BESSEMER NATIONAL GIFT FUND,527082731,MORGAN STANLEY GLOBAL IMPACT FUNDING TRUST INC,"$649,963 ",Nat-to-Nat
141782466,AYCO CHARITABLE FOUNDATION,46010342,BANK OF AMERICA CHARITABLE GIFT FUND 215-099008533496,"$1,083,745 ",Nat-to-Nat
141782466,AYCO CHARITABLE FOUNDATION,110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,"$1,600,109 ",Nat-to-Nat
141782466,AYCO CHARITABLE FOUNDATION,113813663,GOLDMAN SACHS CHARITABLE GIFT FUND,"$78,395 ",Nat-to-Nat
141782466,AYCO CHARITABLE FOUNDATION,232888152,VANGUARD CHARITABLE ENDOWMENT PROGRAM,"$475,607 ",Nat-to-Nat
141782466,AYCO CHARITABLE FOUNDATION,237825575,NATIONAL PHILANTHROPIC TR,"$25,000 ",Nat-to-Nat
141782466,AYCO CHARITABLE FOUNDATION,311640316,SCHWAB CHARITABLE FUND,"$460,959 ",Nat-to-Nat
141782466,AYCO CHARITABLE FOUNDATION,311774905,GOLDMAN SACHS PHILANTHROPY FUND,"$13,703,600 ",Nat-to-Nat
141782466,AYCO CHARITABLE FOUNDATION,431634280,CHARITIES AID FOUNDATION AMERICA,"$16,000 ",Nat-to-Nat
141782466,AYCO CHARITABLE FOUNDATION,527082731,MORGAN STANLEY GLOBAL IMPACT FUNDING TRUST INC,"$4,571,139 ",Nat-to-Nat
204286082,UNITED CHARITABLE,110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,"$123,868 ",Nat-to-Nat
204286082,UNITED CHARITABLE,473574130,IMPACT INVESTING CHARITABLE FOUNDATION INC,"$128,750 ",Nat-to-Nat
232888152,VANGUARD CHARITABLE ENDOWMENT PROGRAM,46010342,BANK OF AMERICA CHARITABLE GIFT FUND 215-099008533496,"$1,364,738 ",Nat-to-Nat
232888152,VANGUARD CHARITABLE ENDOWMENT PROGRAM,46649138,FIDUCIARY CHARITABLE FOUNDATION DBA FIDUCIARY TRUST CHARITABLE,"$457,121 ",Nat-to-Nat
232888152,VANGUARD CHARITABLE ENDOWMENT PROGRAM,110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,"$59,069,369 ",Nat-to-Nat
232888152,VANGUARD CHARITABLE ENDOWMENT PROGRAM,133848582,FJC,"$66,137 ",Nat-to-Nat
232888152,VANGUARD CHARITABLE ENDOWMENT PROGRAM,136082763,RUDOLF STEINER FOUNDATION INC,"$5,500 ",Nat-to-Nat
232888152,VANGUARD CHARITABLE ENDOWMENT PROGRAM,137111099,BESSEMER NATIONAL GIFT FUND,"$2,800,000 ",Nat-to-Nat
232888152,VANGUARD CHARITABLE ENDOWMENT PROGRAM,141782466,AYCO CHARITABLE FOUNDATION,"$425,500 ",Nat-to-Nat
232888152,VANGUARD CHARITABLE ENDOWMENT PROGRAM,204286082,UNITED CHARITABLE,"$56,847 ",Nat-to-Nat
232888152,VANGUARD CHARITABLE ENDOWMENT PROGRAM,237825575,NATIONAL PHILANTHROPIC TR,"$1,414,505 ",Nat-to-Nat
232888152,VANGUARD CHARITABLE ENDOWMENT PROGRAM,262048480,IMPACTASSETS INC,"$26,966,904 ",Nat-to-Nat
232888152,VANGUARD CHARITABLE ENDOWMENT PROGRAM,274357830,NEMA FOUNDATION INC,"$32,500 ",Nat-to-Nat
232888152,VANGUARD CHARITABLE ENDOWMENT PROGRAM,311640316,SCHWAB CHARITABLE FUND,"$15,205,207 ",Nat-to-Nat
232888152,VANGUARD CHARITABLE ENDOWMENT PROGRAM,311709466,T ROWE PRICE PROGRAM FOR CHARITABLE GIVING INC,"$29,827 ",Nat-to-Nat
232888152,VANGUARD CHARITABLE ENDOWMENT PROGRAM,311774905,GOLDMAN SACHS PHILANTHROPY FUND,"$51,089,204 ",Nat-to-Nat
232888152,VANGUARD CHARITABLE ENDOWMENT PROGRAM,341747398,AMERICAN ENDOWMENT FOUNDATION,"$725,675 ",Nat-to-Nat
232888152,VANGUARD CHARITABLE ENDOWMENT PROGRAM,352129262,RENAISSANCE CHARITABLE FOUNDATION INC,"$733,918 ",Nat-to-Nat
232888152,VANGUARD CHARITABLE ENDOWMENT PROGRAM,431634280,CHARITIES AID FOUNDATION AMERICA,"$6,011,729 ",Nat-to-Nat
232888152,VANGUARD CHARITABLE ENDOWMENT PROGRAM,454678325,BRADLEY IMPACT FUND INC,"$119,500 ",Nat-to-Nat
232888152,VANGUARD CHARITABLE ENDOWMENT PROGRAM,473574130,IMPACT INVESTING CHARITABLE FOUNDATION INC,"$26,500 ",Nat-to-Nat
232888152,VANGUARD CHARITABLE ENDOWMENT PROGRAM,474844275,THE DONORS FUND,"$481,000 ",Nat-to-Nat
232888152,VANGUARD CHARITABLE ENDOWMENT PROGRAM,510198509,TIDES FOUNDATION,"$1,023,500 ",Nat-to-Nat
232888152,VANGUARD CHARITABLE ENDOWMENT PROGRAM,522166327,DONORS TRUST INC,"$15,570,000 ",Nat-to-Nat
232888152,VANGUARD CHARITABLE ENDOWMENT PROGRAM,527082731,MORGAN STANLEY GLOBAL IMPACT FUNDING TRUST INC,"$772,197 ",Nat-to-Nat
232888152,VANGUARD CHARITABLE ENDOWMENT PROGRAM,593652538,RAYMOND JAMES CHARITABLE ENDOWMENT FUND,"$129,240 ",Nat-to-Nat
232888152,VANGUARD CHARITABLE ENDOWMENT PROGRAM,710992446,KIVA MICROFUNDS,"$23,500 ",Nat-to-Nat
232888152,VANGUARD CHARITABLE ENDOWMENT PROGRAM,810739440,AMERICAN ONLINE GIVING FOUNDATION INC,"$1,642,590 ",Nat-to-Nat
232888152,VANGUARD CHARITABLE ENDOWMENT PROGRAM,821517696,AMALGAMATED CHARITABLE FOUNDATION INC,"$329,000 ",Nat-to-Nat
232888152,VANGUARD CHARITABLE ENDOWMENT PROGRAM,842049692,STIFEL CHARITABLE INC,"$4,398,750 ",Nat-to-Nat
232888152,VANGUARD CHARITABLE ENDOWMENT PROGRAM,863177440,DAFFY CHARITABLE FUND,"$2,263,829 ",Nat-to-Nat
232888152,VANGUARD CHARITABLE ENDOWMENT PROGRAM,870879423,ANONDO FUND INC,"$52,500 ",Nat-to-Nat
232888152,VANGUARD CHARITABLE ENDOWMENT PROGRAM,943136771,PHILANTHROPIC VENTURES FOUNDATION,"$21,000 ",Nat-to-Nat
237825575,NATIONAL PHILANTHROPIC TR,46010342,BANK OF AMERICA CHARITABLE GIFT FUND 215-099008533496,"$8,946,202 ",Nat-to-Nat
237825575,NATIONAL PHILANTHROPIC TR,110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,"$63,245,404 ",Nat-to-Nat
237825575,NATIONAL PHILANTHROPIC TR,133848582,FJC,"$77,541 ",Nat-to-Nat
237825575,NATIONAL PHILANTHROPIC TR,137111099,BESSEMER NATIONAL GIFT FUND,"$2,269,561 ",Nat-to-Nat
237825575,NATIONAL PHILANTHROPIC TR,141782466,AYCO CHARITABLE FOUNDATION,"$109,310 ",Nat-to-Nat
237825575,NATIONAL PHILANTHROPIC TR,200849590,GREATER HORIZONS,"$162,724,004 ",Nat-to-Nat
237825575,NATIONAL PHILANTHROPIC TR,204286082,UNITED CHARITABLE,"$76,250 ",Nat-to-Nat
237825575,NATIONAL PHILANTHROPIC TR,232888152,VANGUARD CHARITABLE ENDOWMENT PROGRAM,"$1,347,243 ",Nat-to-Nat
237825575,NATIONAL PHILANTHROPIC TR,237825575,NATIONAL PHILANTHROPIC TR,"$92,905 ",Nat-to-Nat
237825575,NATIONAL PHILANTHROPIC TR,262048480,IMPACTASSETS INC,"$1,607,746 ",Nat-to-Nat
237825575,NATIONAL PHILANTHROPIC TR,274357830,NEMA FOUNDATION INC,"$10,000 ",Nat-to-Nat
237825575,NATIONAL PHILANTHROPIC TR,300748315,BNY MELLON CHARITABLE GIFT FUND,"$932,176 ",Nat-to-Nat
237825575,NATIONAL PHILANTHROPIC TR,311640316,SCHWAB CHARITABLE FUND,"$76,791,161 ",Nat-to-Nat
237825575,NATIONAL PHILANTHROPIC TR,311663020,THE US CHARITABLE GIFT TRUST,"$694,774 ",Nat-to-Nat
237825575,NATIONAL PHILANTHROPIC TR,311709466,T ROWE PRICE PROGRAM FOR CHARITABLE GIVING INC,"$25,000 ",Nat-to-Nat
237825575,NATIONAL PHILANTHROPIC TR,311774905,GOLDMAN SACHS PHILANTHROPY FUND,"$7,819,809 ",Nat-to-Nat
237825575,NATIONAL PHILANTHROPIC TR,341747398,AMERICAN ENDOWMENT FOUNDATION,"$4,120,039 ",Nat-to-Nat
237825575,NATIONAL PHILANTHROPIC TR,352129262,RENAISSANCE CHARITABLE FOUNDATION INC,"$98,805,311 ",Nat-to-Nat
237825575,NATIONAL PHILANTHROPIC TR,431634280,CHARITIES AID FOUNDATION AMERICA,"$3,432,162 ",Nat-to-Nat
237825575,NATIONAL PHILANTHROPIC TR,431890105,SERVANT FOUNDATION,"$1,536,631 ",Nat-to-Nat
237825575,NATIONAL PHILANTHROPIC TR,454678325,BRADLEY IMPACT FUND INC,"$300,000 ",Nat-to-Nat
237825575,NATIONAL PHILANTHROPIC TR,474844275,THE DONORS FUND,"$1,743,500 ",Nat-to-Nat
237825575,NATIONAL PHILANTHROPIC TR,510198509,TIDES FOUNDATION,"$13,186,520 ",Nat-to-Nat
237825575,NATIONAL PHILANTHROPIC TR,516506426,AMERICAN GIFT FUND,"$3,031,162 ",Nat-to-Nat
237825575,NATIONAL PHILANTHROPIC TR,522166327,DONORS TRUST INC,"$100,000 ",Nat-to-Nat
237825575,NATIONAL PHILANTHROPIC TR,527082731,MORGAN STANLEY GLOBAL IMPACT FUNDING TRUST INC,"$22,904,392 ",Nat-to-Nat
237825575,NATIONAL PHILANTHROPIC TR,593652538,RAYMOND JAMES CHARITABLE ENDOWMENT FUND,"$2,666,291 ",Nat-to-Nat
237825575,NATIONAL PHILANTHROPIC TR,710992446,KIVA MICROFUNDS,"$5,930 ",Nat-to-Nat
237825575,NATIONAL PHILANTHROPIC TR,810739440,AMERICAN ONLINE GIVING FOUNDATION INC,"$2,378,512 ",Nat-to-Nat
237825575,NATIONAL PHILANTHROPIC TR,812576201,THE INDEPENDENT CHARITABLE GIFT FUND,"$5,211,877 ",Nat-to-Nat
237825575,NATIONAL PHILANTHROPIC TR,821517696,AMALGAMATED CHARITABLE FOUNDATION INC,"$2,103,400 ",Nat-to-Nat
237825575,NATIONAL PHILANTHROPIC TR,842049692,STIFEL CHARITABLE INC,"$1,907,326 ",Nat-to-Nat
237825575,NATIONAL PHILANTHROPIC TR,863177440,DAFFY CHARITABLE FUND,"$115,000 ",Nat-to-Nat
237825575,NATIONAL PHILANTHROPIC TR,943136771,PHILANTHROPIC VENTURES FOUNDATION,"$192,658 ",Nat-to-Nat
260724604,DECHOMAI ASSET TRUST,61676688,DECHOMAI FOUNDATION INC,"$315,341,522 ",Nat-to-Nat
262048480,IMPACTASSETS INC,46010342,BANK OF AMERICA CHARITABLE GIFT FUND 215-099008533496,"$200,000 ",Nat-to-Nat
262048480,IMPACTASSETS INC,110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,"$1,177,059 ",Nat-to-Nat
262048480,IMPACTASSETS INC,133848582,FJC,"$10,000 ",Nat-to-Nat
262048480,IMPACTASSETS INC,204286082,UNITED CHARITABLE,"$10,000 ",Nat-to-Nat
262048480,IMPACTASSETS INC,237825575,NATIONAL PHILANTHROPIC TR,"$1,651,667 ",Nat-to-Nat
262048480,IMPACTASSETS INC,311640316,SCHWAB CHARITABLE FUND,"$3,187,928 ",Nat-to-Nat
262048480,IMPACTASSETS INC,341747398,AMERICAN ENDOWMENT FOUNDATION,"$11,327 ",Nat-to-Nat
262048480,IMPACTASSETS INC,352129262,RENAISSANCE CHARITABLE FOUNDATION INC,"$750,000 ",Nat-to-Nat
262048480,IMPACTASSETS INC,431634280,CHARITIES AID FOUNDATION AMERICA,"$264,562 ",Nat-to-Nat
262048480,IMPACTASSETS INC,431890105,SERVANT FOUNDATION,"$188,800 ",Nat-to-Nat
262048480,IMPACTASSETS INC,510198509,TIDES FOUNDATION,"$1,276,000 ",Nat-to-Nat
262048480,IMPACTASSETS INC,593652538,RAYMOND JAMES CHARITABLE ENDOWMENT FUND,"$611,270 ",Nat-to-Nat
262048480,IMPACTASSETS INC,680480736,NETWORK FOR GOOD INC,"$7,500 ",Nat-to-Nat
262048480,IMPACTASSETS INC,810739440,AMERICAN ONLINE GIVING FOUNDATION INC,"$3,000,000 ",Nat-to-Nat
262048480,IMPACTASSETS INC,812576201,THE INDEPENDENT CHARITABLE GIFT FUND,"$2,738,491 ",Nat-to-Nat
262048480,IMPACTASSETS INC,821517696,AMALGAMATED CHARITABLE FOUNDATION INC,"$1,312,195 ",Nat-to-Nat
262048480,IMPACTASSETS INC,863177440,DAFFY CHARITABLE FUND,"$741,783 ",Nat-to-Nat
262048480,IMPACTASSETS INC,943136771,PHILANTHROPIC VENTURES FOUNDATION,"$42,000 ",Nat-to-Nat
277059768,NPT CHARITABLE ASSET TR,237825575,NATIONAL PHILANTHROPIC TR,"$11,417,947 ",Nat-to-Nat
300233491,JOHNSON CHARITABLE GIFT FUND,110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,"$21,000 ",Nat-to-Nat
300233491,JOHNSON CHARITABLE GIFT FUND,237825575,NATIONAL PHILANTHROPIC TR,"$20,100 ",Nat-to-Nat
300748315,BNY MELLON CHARITABLE GIFT FUND,110303001,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,"$9,467,511 ",Nat-to-Nat
300748315,BNY MELLON CHARITABLE GIFT FUND,133848582,FJC,"$18,000 ",Nat-to-Nat
300748315,BNY MELLON CHARITABLE GIFT FUND,237825575,NATIONAL PHILANTHROPIC TR,"$3,839,630 ",Nat-to-Nat
300748315,BNY MELLON CHARITABLE GIFT FUND,311640316,SCHWAB CHARITABLE FUND,"$1,290,548 ",Nat-to-Nat
300748315,BNY MELLON CHARITABLE GIFT FUND,341747398,AMERICAN ENDOWMENT FOUNDATION,"$216,095 ",Nat-to-Nat
300748315,BNY MELLON CHARITABLE GIFT FUND,352129262,RENAISSANCE CHARITABLE FOUNDATION INC,"$398,449 ",Nat-to-Nat
300748315,BNY MELLON CHARITABLE GIFT FUND,431634280,CHARITIES AID FOUNDATION AMERICA,"$1,068,987 ",Nat-to-Nat
300748315,BNY MELLON CHARITABLE GIFT FUND,527082731,MORGAN STANLEY GLOBAL IMPACT FUNDING TRUST INC,"$830,622 ",Nat-to-Nat
